Date,Open,High,Low,Close,Volume,Adj Close
2017-01-31,121.150002,121.389999,120.620003,121.349998,41610600,121.349998
2017-01-30,120.93,121.629997,120.660004,121.629997,30278800,121.629997
2017-01-27,122.139999,122.349998,121.599998,121.949997,20437400,121.949997
2017-01-26,121.669998,122.440002,121.599998,121.940002,26282000,121.940002
2017-01-25,120.419998,122.099998,120.279999,121.879997,32377600,121.879997
2017-01-24,119.550003,120.099998,119.50,119.970001,23150200,119.970001
2017-01-23,120.00,120.809998,119.769997,120.080002,21131400,120.080002
2017-01-20,120.449997,120.449997,119.730003,120.00,29479900,120.00
2017-01-19,119.400002,120.089996,119.370003,119.779999,25295700,119.779999
2017-01-18,120.00,120.50,119.709999,119.989998,23644700,119.989998
2017-01-17,118.339996,120.239998,118.220001,120.00,34078600,120.00
2017-01-13,119.110001,119.620003,118.809998,119.040001,25938300,119.040001
2017-01-12,118.900002,119.300003,118.209999,119.25,27002400,119.25
2017-01-11,118.739998,119.93,118.599998,119.75,27418600,119.75
2017-01-10,118.769997,119.379997,118.300003,119.110001,24420800,119.110001
2017-01-09,117.949997,119.43,117.940002,118.989998,33387600,118.989998
2017-01-06,116.779999,118.160004,116.470001,117.910004,31577900,117.910004
2017-01-05,115.919998,116.860001,115.809998,116.610001,22103700,116.610001
2017-01-04,115.849998,116.510002,115.75,116.019997,20858700,116.019997
2017-01-03,115.800003,116.330002,114.760002,116.150002,28509500,116.150002
